,round,newround.time,choice.time,buttonpress.time,conf.time,reveal.time,choice.location,choice.class,outcome,subject,bad_trial,Safe.Bet.Amount,Risky.Bet.Amount,Risky.bet.shown.number,Risky.bet.hidden.number,Risky.Side
63,64,273.988,274.6600001,275.72200019999997,275.738,276.2690001,Left,Safebet,WouldHaveLost,5,0,10,20,8,3,Right
64,65,277.2850001,277.9570001,279.7850001,279.8,280.316,Right,Gamble,Win,5,0,10,25,2,4,Right
68,69,290.7850001,291.4570001,292.066,292.0820001,292.59700019999997,Left,Gamble,Win,5,0,10,30,4,8,Left
69,70,293.613,294.2850001,295.3940001,295.4100001,295.941,Right,Gamble,Win,5,0,10,30,3,6,Right
70,71,296.9570001,297.6280001,298.2690001,298.2850001,298.8,Left,Gamble,Loss,5,0,10,20,1,0,Left
71,72,299.816,300.488,301.316,301.3320001,301.84700019999997,Left,Gamble,Loss,5,0,10,25,6,5,Left
72,73,302.863,303.5350001,304.613,304.6440001,305.1600001,Right,Safebet,WouldHaveLost,5,0,10,25,10,7,Left
73,74,306.175,306.8320001,308.566,308.59700019999997,309.113,Left,Safebet,WouldHaveWon,5,0,10,30,9,10,Right
74,75,310.1280001,310.8,311.738,311.7530001,312.2690001,Left,Gamble,Win,5,0,10,30,6,9,Left
75,76,313.2850001,313.9570001,314.7850001,314.8,315.316,Left,Gamble,Loss,5,0,10,15,9,1,Left
76,77,316.3320001,317.0030001,318.05,318.066,318.5820001,Right,Gamble,Loss,5,0,10,15,8,5,Right
77,78,319.59700019999997,320.2530001,321.175,321.191,321.72200019999997,Left,Safebet,WouldHaveLost,5,0,10,15,5,1,Right
78,79,322.738,323.4100001,324.238,324.2530001,324.7690001,Left,Safebet,WouldHaveWon,5,0,10,20,3,9,Right
79,80,325.7850001,326.4570001,327.59700019999997,327.6280001,328.1440001,Left,Gamble,Loss,5,0,10,30,10,7,Left
80,81,329.1600001,329.8320001,330.2850001,330.3,330.816,Right,Safebet,WouldHaveWon,5,0,10,30,6,8,Left
81,82,331.8320001,332.5030001,333.05,333.066,333.5820001,Left,Gamble,Win,5,0,10,25,2,7,Left
82,83,334.6280001,335.2850001,336.6600001,336.675,337.191,Left,Safebet,WouldHaveLost,5,0,10,20,4,3,Right
83,84,338.2070001,338.8780001,339.566,339.59700019999997,340.11300000000006,Left,Safebet,WouldHaveWon,5,0,10,30,1,5,Right
84,85,341.1280001,341.7850001,342.47200019999997,342.48800000000006,343.0190001,Left,Gamble,Win,5,0,10,30,1,6,Left
85,86,344.0350001,344.7070001,345.1600001,345.175,345.7070001,Left,Safebet,WouldHaveLost,5,0,10,25,3,1,Right
86,87,346.72200019999997,347.3780001,348.3780001,348.3940001,348.9100001,Left,Safebet,WouldHaveWon,5,0,10,30,3,9,Right
87,88,349.925,350.5820001,351.22200019999997,351.23800000000006,351.7530001,Left,Safebet,WouldHaveWon,5,0,10,20,5,9,Right
88,89,352.7690001,353.441,353.9100001,353.941,354.4570001,Left,Gamble,Win,5,0,10,20,6,9,Left
90,91,358.2850001,358.9570001,359.59700019999997,359.61300000000006,360.1280001,Left,Gamble,Loss,5,0,10,20,5,4,Left
91,92,361.1440001,361.816,362.9570001,363.0190001,363.55,Left,Gamble,Win,5,0,10,25,5,8,Left
92,93,364.566,365.23800000000006,366.5190001,366.55,367.066,Right,Gamble,Win,5,0,10,30,0,10,Right
95,96,374.23800000000006,374.9100001,375.72200019999997,375.73800000000006,376.2530001,Right,Safebet,WouldHaveLost,5,0,10,30,3,2,Left
96,97,377.2690001,377.941,379.2070001,379.22200019999997,379.73800000000006,Right,Gamble,Win,5,0,10,25,4,5,Right
99,100,386.7690001,387.441,388.5190001,388.55,389.066,Left,Safebet,WouldHaveLost,5,0,10,30,7,1,Right
100,101,390.0820001,390.7530001,391.6440001,391.6600001,392.175,Left,Gamble,Loss,5,0,10,20,10,5,Left
101,102,393.191,393.86300000000006,394.9100001,394.941,395.4570001,Right,Safebet,WouldHaveWon,5,0,10,25,6,10,Left
102,103,396.47200019999997,397.1280001,397.925,397.9570001,398.47200019999997,Left,Gamble,Loss,5,0,10,15,6,2,Left
103,104,399.48800000000006,400.1600001,400.8940001,400.925,401.441,Right,Gamble,Loss,5,0,10,25,4,2,Right
104,105,402.4570001,403.1280001,403.8780001,403.8940001,404.4100001,Left,Safebet,WouldHaveWon,5,0,10,20,0,5,Right
105,106,405.425,406.0820001,407.1280001,407.1440001,407.675,Left,Safebet,WouldHaveWon,5,0,10,20,4,7,Right
106,107,408.691,409.36300000000006,410.09700019999997,410.1440001,410.6600001,Right,Gamble,Loss,5,0,10,25,8,3,Right
107,108,411.675,412.3320001,412.72200019999997,412.73800000000006,413.2530001,Left,Gamble,Win,5,0,10,30,2,6,Left
108,109,414.2690001,414.941,415.36300000000006,415.3780001,415.8940001,Left,Safebet,WouldHaveWon,5,0,10,15,7,9,Right
109,110,416.9100001,417.5820001,418.11300000000006,418.1440001,418.6600001,Left,Gamble,Win,5,0,10,20,2,8,Left
110,111,419.675,420.3320001,421.0030001,421.0190001,421.5350001,Left,Safebet,WouldHaveWon,5,0,10,15,3,4,Right
111,112,422.55,423.2220002,424.55,424.566,425.0820001,Left,Safebet,WouldHaveLost,5,0,10,25,5,3,Right
112,113,426.0970002,426.7530001,427.4100001,427.425,427.9570001,Left,Gamble,Loss,5,0,10,30,5,2,Left
113,114,428.9720002,429.6280001,430.3470002,430.36300000000006,430.8780001,Left,Gamble,Win,5,0,10,15,1,6,Left
114,115,431.8940001,432.566,433.0350001,433.05,433.566,Left,Gamble,Win,5,0,10,15,1,6,Left
115,116,434.5820001,435.2530001,436.566,436.5820001,437.0970002,Left,Safebet,WouldHaveLost,5,0,10,30,6,4,Right
116,117,438.11300000000006,438.7850001,439.925,439.9570001,440.4720002,Right,Gamble,Win,5,0,10,15,3,5,Right
117,118,441.48800000000006,442.1600001,443.05,443.066,443.5820001,Left,Gamble,Win,5,0,10,25,0,8,Left
118,119,444.5970002,445.2530001,446.175,446.191,446.7070001,Left,Gamble,Win,5,0,10,30,4,5,Left
119,120,447.7220002,448.3780001,449.316,449.3320001,449.8470002,Left,Safebet,WouldHaveLost,5,0,10,25,9,4,Right
120,121,450.86300000000006,451.5350001,452.4570001,452.4720002,452.98800000000006,Left,Gamble,Loss,5,0,10,20,6,0,Left
121,122,454.0030001,454.6600001,455.5970002,455.61300000000006,456.1280001,Left,Safebet,WouldHaveLost,5,0,10,25,9,5,Right
122,123,457.1440001,457.816,458.4100001,458.425,458.941,Left,Gamble,Win,5,0,10,20,4,6,Left
123,124,459.9570001,460.6280001,461.0030001,461.0190001,461.5350001,Left,Gamble,Win,5,0,10,30,0,8,Left
124,125,462.55,463.2070001,464.1280001,464.1440001,464.675,Left,Safebet,WouldHaveLost,5,0,10,20,8,1,Right
125,126,465.691,466.36300000000006,466.941,466.9720002,467.48800000000006,Left,Gamble,Loss,5,0,10,15,5,1,Left
126,127,468.5030001,469.1600001,470.1440001,470.1600001,470.675,Right,Safebet,WouldHaveLost,5,0,10,25,10,7,Left
127,128,471.691,472.36300000000006,473.11300000000006,473.1280001,473.6600001,Left,Safebet,WouldHaveWon,5,0,10,25,6,10,Right
128,129,474.675,475.3320001,475.8470002,475.86300000000006,476.3940001,Left,Gamble,Loss,5,0,10,20,7,1,Left
129,130,477.4100001,478.0820001,478.675,478.691,479.2220002,Left,Gamble,Win,5,0,10,30,3,5,Left
130,131,480.23800000000006,480.9100001,481.4720002,481.48800000000006,482.0190001,Left,Gamble,Loss,5,0,10,30,7,3,Left
131,132,483.0350001,483.7070001,484.316,484.3320001,484.8470002,Left,Gamble,Win,5,0,10,25,2,3,Left
132,133,485.86300000000006,486.5350001,487.6600001,487.675,488.191,Right,Gamble,Win,5,0,10,30,4,6,Right
133,134,489.2070001,489.8780001,491.0970002,491.11300000000006,491.6280001,Left,Safebet,WouldHaveWon,5,0,10,20,8,9,Right
134,135,492.6440001,493.3320001,494.11300000000006,494.1280001,494.6440001,Left,Gamble,Loss,5,0,10,20,7,4,Left
135,136,495.6600001,496.3320001,497.05,497.066,497.5820001,Left,Gamble,Win,5,0,10,25,1,10,Left
136,137,498.6280001,499.3,500.3470002,500.36300000000006,500.8780001,Right,Gamble,Loss,5,0,10,30,7,6,Right
137,138,501.8940001,502.566,503.175,503.191,503.7070001,Left,Gamble,Win,5,0,10,15,0,6,Left
138,139,504.7220002,505.3780001,506.3320001,506.3470002,506.86300000000006,Left,Gamble,Loss,5,0,10,20,8,6,Left
141,142,515.9100001,516.5820001000001,517.5030001,517.5190001,518.05,Left,Gamble,Win,5,0,10,15,4,7,Left
142,143,519.066,519.738,521.2220002,521.2530001,521.7690001,Right,Safebet,WouldHaveLost,5,0,10,20,9,4,Left
143,144,522.7850001,523.4570001000001,524.7220002,524.738,525.2530001,Right,Safebet,WouldHaveLost,5,0,10,15,7,1,Left
144,145,526.2690001,526.941,527.9720002,528.0030001,528.5190001,Right,Safebet,WouldHaveWon,5,0,10,15,6,7,Left
145,146,529.5350001,530.2070001000001,531.613,531.6280001,532.1440001,Left,Gamble,Win,5,0,10,30,5,9,Left
146,147,533.1600001,533.8320001000001,534.863,534.8780001,535.4100001,Right,Safebet,WouldHaveLost,5,0,10,20,8,2,Left
147,148,536.425,537.0820001000001,537.7690001,537.7850001,538.3,Left,Gamble,Win,5,0,10,15,0,4,Left
148,149,539.316,539.988,540.5820001000001,540.5970002,541.113,Left,Gamble,Win,5,0,10,20,1,8,Left
149,150,542.1280001,542.7850001,543.988,544.0030001,544.5190001,Right,Gamble,Win,5,0,10,25,1,3,Right
150,151,545.5350001,546.2220002,547.4720002,547.488,548.0030001,Right,Safebet,WouldHaveLost,5,0,10,15,10,1,Left
151,152,549.0190001,549.691,551.05,551.066,551.5820001000001,Left,Safebet,WouldHaveWon,5,0,10,25,2,8,Right
152,153,552.5970002,553.2850001,554.0030001,554.0350001,554.55,Left,Gamble,Win,5,0,10,20,1,6,Left
153,154,555.566,556.238,557.1600001,557.175,557.7070001000001,Right,Safebet,WouldHaveWon,5,0,10,30,7,10,Left
154,155,558.7220002,559.3780001,560.691,560.7070001000001,561.2220002,Left,Safebet,WouldHaveWon,5,0,10,20,8,10,Right
155,156,562.2530001,562.9100001,564.066,564.0820001000001,564.5970002,Right,Gamble,Win,5,0,10,15,4,7,Right
157,158,569.1280001,569.7850001,570.675,570.691,571.2070001000001,Left,Safebet,WouldHaveWon,5,0,10,15,1,9,Right
158,159,572.2220002,572.8780001,573.8,573.816,574.3320001000001,Right,Safebet,WouldHaveLost,5,0,10,30,7,2,Left
159,160,575.3470002,576.0030001,577.05,577.066,577.5820001000001,Left,Safebet,WouldHaveWon,5,0,10,30,6,9,Right
160,161,578.5970002,579.2530001,580.2220002,580.238,580.7530001,Right,Gamble,Win,5,0,10,20,4,7,Right
162,163,585.988,586.6600001,587.9570001000001,587.988,588.5030001,Left,Safebet,WouldHaveWon,5,0,10,30,9,10,Right
163,164,589.5190001,590.191,590.8780001,590.8940001,591.4100001,Left,Gamble,Loss,5,0,10,30,8,0,Left
164,165,592.425,593.0820001000001,593.941,593.9720002,594.488,Left,Gamble,Win,5,0,10,25,2,7,Left
165,166,595.5030001,596.1600001,597.238,597.2690001,597.7850001,Left,Safebet,WouldHaveLost,5,0,10,15,8,2,Right
166,167,598.8,599.4570001000001,600.1440001,600.1600001,600.675,Left,Gamble,Loss,5,0,10,25,8,5,Left
167,168,601.691,602.363,603.238,603.2690001,603.7850001,Left,Gamble,Loss,5,0,10,20,5,3,Left
168,169,604.8,605.4570001000001,605.941,605.9570001000001,606.4720002,Right,Safebet,WouldHaveLost,5,0,10,15,7,0,Left
169,170,607.488,608.1600001,609.316,609.3320001000001,609.8470002,Left,Gamble,Win,5,0,10,20,2,7,Left
170,171,610.863,611.5350001,612.2220002,612.238,612.7690001,Left,Gamble,Loss,5,0,10,25,7,3,Left
171,172,613.7850001,614.4570001000001,615.3,615.316,615.8320001000001,Left,Gamble,Win,5,0,10,25,8,10,Left
172,173,616.8470002,617.5030001,618.2690001,618.3,618.816,Left,Gamble,Win,5,0,10,15,5,8,Left
173,174,619.8320001000001,620.5030001,621.113,621.1280001,621.6440001,Left,Gamble,Win,5,0,10,20,5,7,Left
174,175,622.6600001,623.3320001000001,624.6280001,624.6440001,625.1600001,Right,Gamble,Win,5,0,10,25,0,7,Right
175,176,626.175,626.8320001000001,627.55,627.566,628.0820001000001,Left,Gamble,Win,5,0,10,30,3,9,Left
176,177,629.0970002,629.7530001,630.9100001,630.925,631.441,Right,Gamble,Win,5,0,10,25,4,7,Right
177,178,632.4570001000001,633.1280001,634.55,634.566,635.0970002,Left,Safebet,WouldHaveLost,5,0,10,30,9,0,Right
178,179,636.113,636.7850001,637.738,637.7530001,638.2690001,Left,Gamble,Win,5,0,10,20,5,8,Left
179,180,639.2850001,639.9570001000001,641.05,641.066,641.5820001000001,Right,Gamble,Win,5,0,10,15,1,7,Right
180,181,642.6440001,643.316,644.2690001,644.3,644.816,Left,Safebet,WouldHaveLost,5,0,10,15,9,6,Right
181,182,645.8320001000001,646.5030001,647.2220002,647.238,647.7530001,Left,Gamble,Win,5,0,10,30,6,8,Left
183,184,651.9720002,652.6280001,653.488,653.5030001,654.0190001,Right,Gamble,Win,5,0,10,25,2,6,Right
184,185,655.0350001,655.7070001000001,656.7850001,656.8,657.3320001000001,Right,Gamble,Win,5,0,10,15,1,3,Right
185,186,658.3470002,659.0030001,660.2530001,660.2850001,660.8,Right,Gamble,Loss,5,0,10,20,3,2,Right
186,187,661.816,662.488,663.2070001000001,663.2220002,663.7530001,Left,Gamble,Win,5,0,10,25,0,7,Left
187,188,664.7690001,665.441,665.925,665.9570001000001,666.4720002,Left,Gamble,Win,5,0,10,30,1,9,Left
188,189,667.488,668.1600001,669.3940001,669.4100001,669.925,Left,Gamble,Win,5,0,10,25,5,10,Left
189,190,670.941,671.613,672.2220002,672.238,672.7690001,Left,Gamble,Loss,5,0,10,30,10,8,Left
190,191,673.7850001,674.4570001000001,675.3470002,675.363,675.8780001,Right,Gamble,Loss,5,0,10,20,8,3,Right
191,192,676.8940001,677.566,678.1280001,678.1440001,678.675,Left,Gamble,Loss,5,0,10,20,5,0,Left
192,193,679.691,680.363,680.9720002,681.0030001,681.5190001,Left,Gamble,Win,5,0,10,30,1,5,Left
193,194,682.5350001,683.2220002,684.0970002,684.113,684.6280001,Left,Gamble,Loss,5,0,10,15,6,3,Left
194,195,685.6440001,686.316,687.316,687.3320001000001,687.8470002,Right,Gamble,Win,5,0,10,25,1,8,Right
195,196,688.863,689.5350001,690.3940001,690.4100001,690.925,Left,Gamble,Win,5,0,10,15,6,9,Left
198,199,697.9100001,698.5820001000001,699.441,699.4570001000001,699.988,Right,Gamble,Win,5,0,10,15,0,7,Right
199,200,701.0030001,701.6600001,703.175,703.191,703.7220002,Left,Safebet,WouldHaveLost,5,0,10,20,10,9,Right
0,1,78.18700007,78.96799996,80.78,80.79600003,80.82700017,Left,Gamble,Win,6,0,10,30,1,5,Left
1,2,81.84299996,82.60800007,84.87400009999999,84.89000013,84.905,Left,Gamble,Win,6,0,10,20,4,5,Left
2,3,85.92100003,86.68700007,88.17100003,88.20200017,88.21799996,Right,Gamble,Win,6,0,10,25,7,8,Right
3,4,89.23300007,89.99900009999999,91.45200017,91.46799996,91.49900009999999,Left,Gamble,Win,6,0,10,30,1,4,Left
4,5,92.51500013,93.29600003,95.28,95.29600003,95.31200007,Right,Safebet,WouldHaveLost,6,0,10,25,6,1,Left
5,6,96.34299996,97.10800007,98.70200017,98.73300007,98.74900009999999,Right,Gamble,Win,6,0,10,30,1,7,Right
6,7,99.76500013,100.546,101.6080001,101.62400009999999,101.6400001,Right,Gamble,Win,6,0,10,25,2,5,Right
7,8,102.671,103.43700009999999,104.93700009999999,104.95200020000001,104.96799999999999,Right,Safebet,WouldHaveLost,6,0,10,20,7,2,Left
8,9,105.99900009999999,106.7650001,107.921,107.93700009999999,107.96799999999999,Left,Safebet,WouldHaveLost,6,0,10,25,9,6,Right
9,10,108.9830001,109.74900009999999,111.28,111.296,111.32700020000001,Right,Safebet,WouldHaveWon,6,0,10,30,3,8,Left
10,11,112.34299999999999,113.1080001,114.96799999999999,114.9830001,114.99900009999999,Right,Safebet,WouldHaveWon,6,0,10,20,6,9,Left
11,12,116.03,116.796,117.8900001,117.905,117.93700009999999,Left,Gamble,Loss,6,0,10,25,2,1,Left
14,15,125.3900001,126.171,127.405,127.421,127.43700009999999,Left,Gamble,Loss,6,0,10,15,4,3,Left
15,16,128.468,129.2330001,130.6080001,130.6240001,130.655,Right,Safebet,WouldHaveLost,6,0,10,15,8,3,Left
16,17,131.671,132.4370001,133.76500009999998,133.796,133.8120001,Left,Gamble,Loss,6,0,10,20,4,1,Left
17,18,134.8270002,135.593,136.89000009999998,136.905,136.921,Left,Safebet,WouldHaveLost,6,0,10,20,8,7,Right
18,19,137.9370001,138.718,140.171,140.2020002,140.218,Right,Gamble,Loss,6,0,10,20,6,2,Right
19,20,141.2330001,141.9990001,143.5770002,143.593,143.6240001,Right,Gamble,Win,6,0,10,15,2,9,Right
20,21,144.64000009999998,145.421,146.5770002,146.593,146.6240001,Left,Gamble,Win,6,0,10,15,2,8,Left
21,22,147.64000009999998,148.421,149.39000009999998,149.421,149.4370001,Left,Gamble,Win,6,0,10,20,0,2,Left
22,23,150.4520002,151.218,152.593,152.6080001,152.6240001,Left,Safebet,WouldHaveLost,6,0,10,25,10,5,Right
23,24,153.655,154.421,155.655,155.671,155.6870001,Left,Gamble,Win,6,0,10,30,2,4,Left
24,25,156.718,157.4830001,158.6240001,158.64000009999998,158.655,Right,Gamble,Loss,6,0,10,20,5,3,Right
25,26,159.6870001,160.468,161.4520002,161.468,161.4990001,Left,Safebet,WouldHaveWon,6,0,10,15,8,9,Right
26,27,162.51500009999998,163.296,164.843,164.8740001,164.89000009999998,Right,Safebet,WouldHaveLost,6,0,10,25,8,2,Left
27,28,165.905,166.671,168.0620001,168.0770002,168.093,Left,Safebet,WouldHaveWon,6,0,10,25,7,9,Right
28,29,169.1240001,169.89000009999998,171.296,171.3120001,171.343,Left,Safebet,WouldHaveLost,6,0,10,15,10,2,Right
29,30,172.3580001,173.1240001,173.968,173.9830001,174.01500009999998,Right,Gamble,Loss,6,0,10,20,1,0,Right
30,31,175.03,175.796,176.671,176.6870001,176.718,Left,Safebet,WouldHaveLost,6,0,10,15,6,1,Right
31,32,177.7330001,178.4990001,179.5770002,179.593,179.6240001,Right,Gamble,Win,6,0,10,15,5,6,Right
32,33,180.64000009999998,181.421,182.593,182.6080001,182.6240001,Right,Safebet,WouldHaveLost,6,0,10,25,9,7,Left
34,35,186.3580001,187.1240001,188.51500009999998,188.53,188.5620001,Left,Gamble,Loss,6,0,10,20,5,2,Left
35,36,189.5770002,190.343,191.3120001,191.3270002,191.343,Right,Gamble,Win,6,0,10,25,2,7,Right
36,37,192.3740001,193.14000009999998,194.968,194.9830001,194.9990001,Right,Safebet,WouldHaveLost,6,0,10,25,7,0,Left
37,38,196.03,196.796,197.9990001,198.01500009999998,198.03,Right,Gamble,Win,6,0,10,15,4,9,Right
38,39,199.0620001,199.843,200.7020002,200.718,200.7330001,Right,Gamble,Win,6,0,10,20,4,5,Right
42,43,210.546,211.3120001,212.671,212.6870001,212.718,Left,Safebet,WouldHaveLost,6,0,10,25,6,3,Right
43,44,213.73300010000003,214.49900010000002,215.8270002,215.843,215.87400010000002,Right,Safebet,WouldHaveLost,6,0,10,30,7,4,Left
44,45,216.8900001,217.671,219.296,219.3120001,219.343,Left,Safebet,WouldHaveWon,6,0,10,20,6,8,Right
45,46,220.35800010000003,221.12400010000002,222.218,222.23300010000003,222.24900010000002,Left,Gamble,Win,6,0,10,15,5,8,Left
46,47,223.2650001,224.046,225.12400010000002,225.1400001,225.171,Left,Gamble,Win,6,0,10,20,0,1,Left
47,48,226.1870001,226.968,228.171,228.2020002,228.218,Left,Safebet,WouldHaveLost,6,0,10,25,8,2,Right
48,49,229.23300010000003,229.99900010000002,230.921,230.9370001,230.968,Right,Safebet,WouldHaveLost,6,0,10,15,7,4,Left
49,50,231.98300010000003,232.74900010000002,233.99900010000002,234.0150001,234.03,Right,Safebet,WouldHaveLost,6,0,10,20,6,3,Left
50,51,235.0620001,235.843,237.421,237.4370001,237.4520002,Left,Gamble,Win,6,0,10,20,4,8,Left
51,52,238.48300010000003,239.24900010000002,240.3120001,240.3270002,240.35800010000003,Right,Safebet,WouldHaveLost,6,0,10,15,8,7,Left
52,53,241.37400010000002,242.1400001,242.98300010000003,242.99900010000002,243.0150001,Right,Gamble,Win,6,0,10,20,1,9,Right
53,54,244.046,244.8120001,245.60800010000003,245.62400010000002,245.6400001,Right,Gamble,Win,6,0,10,20,1,2,Right
54,55,246.655,247.421,248.1400001,248.171,248.1870001,Right,Gamble,Win,6,0,10,20,3,8,Right
55,56,249.2020002,249.968,251.3270002,251.343,251.35800010000003,Right,Safebet,WouldHaveLost,6,0,10,15,8,1,Left
56,57,252.3900001,253.171,254.0150001,254.03,254.046,Left,Gamble,Win,6,0,10,30,2,5,Left
57,58,255.0770002,255.843,256.8270002,256.8580001,256.8740001,Right,Safebet,WouldHaveLost,6,0,10,20,8,0,Left
58,59,257.8900001,258.671,259.546,259.5770002,259.593,Left,Gamble,Win,6,0,10,20,5,6,Left
59,60,260.6080001,261.3740001,262.171,262.2020002,262.218,Left,Gamble,Win,6,0,10,15,4,10,Left
60,61,263.2330001,263.9990001,265.06200010000003,265.0770002,265.093,Right,Gamble,Loss,6,0,10,25,5,1,Right
61,62,266.1240001,266.8900001,267.671,267.68700010000003,267.718,Left,Gamble,Loss,6,0,10,15,2,0,Left
62,63,268.7330001,269.4990001,270.5150001,270.53,270.56200010000003,Left,Safebet,WouldHaveLost,6,0,10,20,6,5,Right
63,64,271.5770002,272.343,273.405,273.421,273.43700010000003,Left,Safebet,WouldHaveLost,6,0,10,20,8,3,Right
64,65,274.468,275.2330001,276.046,276.06200010000003,276.0770002,Right,Gamble,Win,6,0,10,25,2,4,Right
65,66,277.1080001,277.8740001,278.7330001,278.7490001,278.7650001,Left,Safebet,WouldHaveLost,6,0,10,30,10,3,Right
66,67,279.796,280.56200010000003,281.296,281.31200010000003,281.3270002,Left,Gamble,Win,6,0,10,30,4,6,Left
67,68,282.343,283.1080001,283.9520002,283.968,283.9990001,Right,Gamble,Win,6,0,10,20,5,7,Right
68,69,285.0150001,285.796,286.796,286.81200010000003,286.843,Left,Gamble,Win,6,0,10,30,4,8,Left
69,70,287.8580001,288.6240001,289.296,289.31200010000003,289.343,Right,Gamble,Win,6,0,10,30,3,6,Right
70,71,290.3580001,291.1240001,291.8270002,291.8580001,291.8740001,Left,Gamble,Loss,6,0,10,20,1,0,Left
71,72,292.8900001,293.671,294.4990001,294.5150001,294.546,Right,Safebet,WouldHaveLost,6,0,10,25,6,5,Left
72,73,295.56200010000003,296.343,297.3580001,297.3740001,297.3900001,Right,Safebet,WouldHaveLost,6,0,10,25,10,7,Left
73,74,298.421,299.18700010000003,300.03,300.046,300.0770002,Left,Safebet,WouldHaveWon,6,0,10,30,9,10,Right
74,75,301.093,301.8580001,302.81200010000003,302.8270002,302.8580001,Right,Safebet,WouldHaveWon,6,0,10,30,6,9,Left
75,76,303.8740001,304.6400001,305.593,305.6080001,305.6400001,Right,Safebet,WouldHaveLost,6,0,10,15,9,1,Left
76,77,306.655,307.421,308.155,308.171,308.2020002,Left,Safebet,WouldHaveLost,6,0,10,15,8,5,Right
77,78,309.218,309.9830001,310.7330001,310.7650001,310.78,Right,Gamble,Loss,6,0,10,15,5,1,Right
78,79,311.796,312.56200010000003,313.28,313.296,313.31200010000003,Right,Gamble,Win,6,0,10,20,3,9,Right
79,80,314.3270002,315.093,315.9520002,315.968,315.9990001,Right,Safebet,WouldHaveLost,6,0,10,30,10,7,Left
80,81,317.0150001,317.796,319.1240001,319.155,319.171,Right,Safebet,WouldHaveWon,6,0,10,30,6,8,Left
81,82,320.18700010000003,320.968,321.8900001,321.905,321.93700010000003,Left,Gamble,Win,6,0,10,25,2,7,Left
82,83,322.9520002,323.718,324.593,324.6080001,324.6240001,Right,Gamble,Loss,6,0,10,20,4,3,Right
83,84,325.6400001,326.421,327.1240001,327.155,327.171,Right,Gamble,Win,6,0,10,30,1,5,Right
84,85,328.18700010000003,328.968,329.7020002,329.718,329.7490001,Left,Gamble,Win,6,0,10,30,1,6,Left
85,86,330.7650001,331.546,332.171,332.18700010000003,332.218,Right,Gamble,Loss,6,0,10,25,3,1,Right
86,87,333.2330001,333.9990001,334.796,334.8270002,334.843,Right,Gamble,Win,6,0,10,30,3,9,Right
87,88,335.8580001,336.6240001,337.7020002,337.718,337.7490001,Right,Gamble,Win,6,0,10,20,5,9,Right
88,89,338.7650001,339.546,340.655,340.671,340.7020002,Right,Safebet,WouldHaveWon,6,0,10,20,6,9,Left
89,90,341.718,342.4830001,343.3580001,343.3740001,343.3900001,Left,Gamble,Loss,6,0,10,30,5,1,Left
90,91,344.421,345.18700010000003,346.2490001,346.2650001,346.296,Left,Gamble,Loss,6,0,10,20,5,4,Left
91,92,347.31200010000003,348.093,349.093,349.1080001,349.1240001,Left,Gamble,Win,6,0,10,25,5,8,Left
92,93,350.155,350.921,352.78,352.796,352.81200010000003,Right,Gamble,Win,6,0,10,30,0,10,Right
93,94,353.843,354.6080001,355.43700010000003,355.4520002,355.468,Left,Gamble,Loss,6,0,10,25,3,1,Left
94,95,356.4990001,357.2650001,357.9520002,357.968,357.9830001,Left,Gamble,Loss,6,0,10,30,3,1,Left
95,96,358.9990001,359.7650001,360.6400001,360.655,360.671,Right,Safebet,WouldHaveLost,6,0,10,30,3,2,Left
96,97,361.7020002,362.468,363.343,363.3580001,363.3740001,Right,Gamble,Win,6,0,10,25,4,5,Right
97,98,364.405,365.171,366.171,366.2020002,366.218,Left,Gamble,Loss,6,0,10,30,4,3,Left
98,99,367.2330001,367.9990001,369.06200010000003,369.0770002,369.093,Left,Safebet,WouldHaveWon,6,0,10,15,6,9,Right
99,100,370.1240001,370.8900001,371.843,371.8580001,371.8900001,Left,Safebet,WouldHaveLost,6,0,10,30,7,1,Right
100,101,372.905,373.671,374.56200010000003,374.593,374.6080001,Right,Safebet,WouldHaveLost,6,0,10,20,10,5,Left
101,102,375.6240001,376.3900001,377.405,377.43700010000003,377.4520002,Right,Safebet,WouldHaveWon,6,0,10,25,6,10,Left
102,103,378.468,379.2330001,380.1400001,380.171,380.18700010000003,Right,Safebet,WouldHaveLost,6,0,10,15,6,2,Left
103,104,381.2020002,381.968,382.593,382.6080001,382.6400001,Right,Gamble,Loss,6,0,10,25,4,2,Right
104,105,383.655,384.421,385.1080001,385.1400001,385.155,Right,Gamble,Win,6,0,10,20,0,5,Right
105,106,386.171,386.93700010000003,387.7020002,387.718,387.7330001,Right,Gamble,Win,6,0,10,20,4,7,Right
106,107,388.7650001,389.546,390.3900001,390.405,390.43700010000003,Left,Safebet,WouldHaveLost,6,0,10,25,8,3,Right
107,108,391.4520002,392.218,393.3270002,393.343,393.3580001,Left,Gamble,Win,6,0,10,30,2,6,Left
108,109,394.3900001,395.171,396.1080001,396.1240001,396.1400001,Left,Safebet,WouldHaveWon,6,0,10,15,7,9,Right
109,110,397.171,397.93700010000003,399.4520002,399.468,399.4830001,Left,Gamble,Win,6,0,10,20,2,8,Left
110,111,400.5150001,401.296,402.0150001,402.03,402.06200010000003,Right,Gamble,Win,6,0,10,15,3,4,Right
111,112,403.0770002,403.843,404.7020002,404.718,404.7490001,Right,Gamble,Loss,6,0,10,25,5,3,Right
112,113,405.7650001,406.546,407.7490001,407.7650001,407.78,Right,Safebet,WouldHaveLost,6,0,10,30,5,2,Left
