,round,newround.time,choice.time,buttonpress.time,conf.time,reveal.time,choice.location,choice.class,outcome,subject,bad_trial,Safe.Bet.Amount,Risky.Bet.Amount,Risky.bet.shown.number,Risky.bet.hidden.number,Risky.Side
56,57,210.61299989999998,211.378,212.894,212.91000010000002,213.44099999999997,Right,Safebet,WouldHaveWon,1,0,10,30,2,5,Left
57,58,214.457,215.2220001,216.3470001,216.36299989999998,216.878,Right,Safebet,WouldHaveLost,1,0,10,20,8,0,Left
58,59,217.894,218.66000010000002,219.832,219.8470001,220.36299989999998,Left,Gamble,Win,1,0,10,20,5,6,Left
59,60,221.378,222.144,223.06599999999997,223.0970001,223.61299989999998,Left,Gamble,Win,1,0,10,15,4,10,Left
60,61,224.628,225.394,226.7999999,226.81599999999997,227.332,Right,Gamble,Loss,1,0,10,25,5,1,Right
61,62,228.3470001,229.11299989999998,230.2220001,230.23799989999998,230.753,Left,Gamble,Loss,1,0,10,15,2,0,Left
62,63,231.769,232.53500010000002,233.5970001,233.61299989999998,234.144,Left,Safebet,WouldHaveLost,1,0,10,20,6,5,Right
63,64,235.16000010000002,235.9249999,237.2999999,237.332,237.8470001,Left,Safebet,WouldHaveLost,1,0,10,20,8,3,Right
64,65,238.86299989999998,239.628,240.48799989999998,240.519,241.03500010000002,Right,Gamble,Win,1,0,10,25,2,4,Right
65,66,242.0499999,242.81599999999997,244.628,244.644,245.16000010000002,Left,Safebet,WouldHaveLost,1,0,10,30,10,3,Right
66,67,246.1749999,246.94099999999997,248.003,248.019,248.53500010000002,Left,Gamble,Win,1,0,10,30,4,6,Left
67,68,249.5499999,250.31599999999997,251.28500010000002,251.2999999,251.81599999999997,Right,Gamble,Win,1,0,10,20,5,7,Right
68,69,252.832,253.5970001,255.31599999999997,255.332,255.8470001,Left,Gamble,Win,1,0,10,30,4,8,Left
69,70,256.8629999,257.628,258.2850001,258.2999999,258.832,Left,Safebet,WouldHaveWon,1,0,10,30,3,6,Right
70,71,259.8470001,260.6129999,261.816,261.832,262.3470001,Left,Gamble,Loss,1,0,10,20,1,0,Left
71,72,263.3629999,264.128,265.4249999,265.441,265.9720001,Right,Safebet,WouldHaveLost,1,0,10,25,6,5,Left
72,73,266.9879999,267.753,269.519,269.5499999,270.066,Right,Safebet,WouldHaveLost,1,0,10,25,10,7,Left
75,76,278.457,279.2220001,280.644,280.6600001,281.1749999,Right,Safebet,WouldHaveLost,1,0,10,15,9,1,Left
76,77,282.191,282.957,284.191,284.207,284.7220001,Left,Safebet,WouldHaveLost,1,0,10,15,8,5,Right
77,78,285.7379999,286.503,287.9100001,287.9249999,288.441,Right,Gamble,Loss,1,0,10,15,5,1,Right
78,79,289.457,290.2220001,291.3629999,291.378,291.894,Right,Gamble,Win,1,0,10,20,3,9,Right
79,80,292.9100001,293.6749999,295.1129999,295.128,295.644,Right,Safebet,WouldHaveLost,1,0,10,30,10,7,Left
80,81,296.6600001,297.4249999,298.941,298.957,299.4720001,Left,Gamble,Win,1,0,10,30,6,8,Left
81,82,300.4879999,301.253,302.253,302.269,302.7850001,Left,Gamble,Win,1,0,10,25,2,7,Left
82,83,303.7999999,304.566,306.0970001,306.1129999,306.628,Right,Gamble,Loss,1,0,10,20,4,3,Right
85,86,314.6129999,315.378,316.6749999,316.691,317.2220001,Left,Safebet,WouldHaveLost,1,0,10,25,3,1,Right
86,87,318.2379999,319.003,320.6600001,320.6749999,321.191,Right,Gamble,Win,1,0,10,30,3,9,Right
87,88,322.207,322.9720001,324.269,324.2850001,324.7999999,Right,Gamble,Win,1,0,10,20,5,9,Right
88,89,325.816,326.582,327.566,327.5970001,328.1129999,Right,Safebet,WouldHaveWon,1,0,10,20,6,9,Left
89,90,329.12800000000004,329.894,331.066,331.082,331.5970001,Right,Safebet,WouldHaveLost,1,0,10,30,5,1,Left
90,91,332.6129999,333.37800000000004,334.6600001,334.6749999,335.191,Left,Gamble,Loss,1,0,10,20,5,4,Left
91,92,336.207,336.9720001,338.1129999,338.12800000000004,338.644,Left,Gamble,Win,1,0,10,25,5,8,Left
92,93,339.6600001,340.4249999,341.8629999,341.894,342.4100001,Right,Gamble,Win,1,0,10,30,0,10,Right
93,94,343.4249999,344.191,345.5350001,345.566,346.082,Left,Gamble,Loss,1,0,10,25,3,1,Left
94,95,347.0970001,347.8629999,348.832,348.8629999,349.37800000000004,Left,Gamble,Loss,1,0,10,30,3,1,Left
95,96,350.394,351.1600001,352.566,352.5970001,353.1129999,Left,Gamble,Loss,1,0,10,30,3,2,Left
96,97,354.12800000000004,354.894,356.5499999,356.566,357.082,Right,Gamble,Win,1,0,10,25,4,5,Right
97,98,358.0970001,358.8629999,359.941,359.9720001,360.4879999,Left,Gamble,Loss,1,0,10,30,4,3,Left
98,99,361.50300000000004,362.269,363.5350001,363.5499999,364.082,Left,Safebet,WouldHaveWon,1,0,10,15,6,9,Right
99,100,365.0970001,365.8629999,367.5970001,367.62800000000004,368.144,Left,Safebet,WouldHaveLost,1,0,10,30,7,1,Right
100,101,369.1600001,369.9249999,371.441,371.4720001,371.9879999,Right,Safebet,WouldHaveLost,1,0,10,20,10,5,Left
101,102,373.00300000000004,373.769,374.7220001,374.7379999,375.25300000000004,Left,Gamble,Win,1,0,10,25,6,10,Left
102,103,376.269,377.0350001,377.707,377.7220001,378.2379999,Left,Gamble,Loss,1,0,10,15,6,2,Left
103,104,379.25300000000004,380.019,381.191,381.207,381.7220001,Right,Gamble,Loss,1,0,10,25,4,2,Right
105,106,385.894,386.6600001,387.6749999,387.691,388.207,Right,Gamble,Win,1,0,10,20,4,7,Right
106,107,389.2220001,389.9879999,390.9249999,390.941,391.457,Left,Safebet,WouldHaveLost,1,0,10,25,8,3,Right
107,108,392.4720001,393.2379999,394.269,394.2850001,394.7999999,Left,Gamble,Win,1,0,10,30,2,6,Left
108,109,395.816,396.582,397.644,397.6749999,398.191,Right,Gamble,Win,1,0,10,15,7,9,Right
109,110,399.207,399.9720001,401.25300000000004,401.269,401.7850001,Right,Safebet,WouldHaveWon,1,0,10,20,2,8,Left
111,112,407.1129999,407.87800000000004,408.816,408.832,409.3629999,Right,Gamble,Loss,1,0,10,25,5,3,Right
112,113,410.37800000000004,411.144,412.7220001,412.7379999,413.25300000000004,Left,Gamble,Loss,1,0,10,30,5,2,Left
116,117,424.144,424.9100001,426.7220001,426.7379999,427.25300000000004,Right,Gamble,Win,1,0,10,15,3,5,Right
117,118,428.269,429.0350001,429.894,429.9100001,430.441,Left,Gamble,Win,1,0,10,25,0,8,Left
118,119,431.457,432.2220001,433.082,433.0970001,433.6129999,Left,Gamble,Win,1,0,10,30,4,5,Left
120,121,437.769,438.5350001,440.00300000000004,440.0350001,440.5499999,Right,Safebet,WouldHaveLost,1,0,10,20,6,0,Left
121,122,441.566,442.332,443.8629999,443.87800000000004,444.4100001,Right,Gamble,Loss,1,0,10,25,9,5,Right
122,123,445.4249999,446.191,447.00300000000004,447.0350001,447.5499999,Left,Gamble,Win,1,0,10,20,4,6,Left
123,124,448.566,449.332,450.25300000000004,450.269,450.7850001,Left,Gamble,Win,1,0,10,30,0,8,Left
124,125,451.7999999,452.566,453.6600001,453.691,454.207,Left,Safebet,WouldHaveLost,1,0,10,20,8,1,Right
125,126,455.2220001,455.9879999,457.082,457.0970001,457.6129999,Right,Safebet,WouldHaveLost,1,0,10,15,5,1,Left
126,127,458.62800000000004,459.394,460.8470001,460.8629999,461.37800000000004,Right,Safebet,WouldHaveLost,1,0,10,25,10,7,Left
127,128,462.394,463.1600001,464.2379999,464.25300000000004,464.769,Right,Gamble,Win,1,0,10,25,6,10,Right
128,129,465.7850001,466.5499999,467.457,467.4720001,467.9879999,Left,Gamble,Loss,1,0,10,20,7,1,Left
129,130,469.00300000000004,469.769,470.941,470.957,471.4879999,Left,Gamble,Win,1,0,10,30,3,5,Left
130,131,472.50300000000004,473.269,474.582,474.5970001,475.1129999,Left,Gamble,Loss,1,0,10,30,7,3,Left
131,132,476.12800000000004,476.894,477.894,477.9100001,478.4249999,Left,Gamble,Win,1,0,10,25,2,3,Left
132,133,479.441,480.207,481.7850001,481.7999999,482.316,Left,Safebet,WouldHaveWon,1,0,10,30,4,6,Right
133,134,483.332,484.0970001,485.6600001,485.6749999,486.207,Left,Safebet,WouldHaveWon,1,0,10,20,8,9,Right
134,135,487.2220001,487.9879999,489.066,489.0970001,489.6129999,Left,Gamble,Loss,1,0,10,20,7,4,Left
135,136,490.62800000000004,491.394,492.50300000000004,492.519,493.0350001,Left,Gamble,Win,1,0,10,25,1,10,Left
136,137,494.0499999,494.816,495.87800000000004,495.894,496.4249999,Right,Gamble,Loss,1,0,10,30,7,6,Right
